@relation accelerometer


@attribute minimum_for_axis_X numeric

@attribute minimum_for_axis_Y numeric
@attribute minimum_for_axis_Z numeric
@attribute minimum_for_magnitude numeric
@attribute average_acceleration_for_axis_X numeric
@attribute average_acceleration_for_axis_Y numeric
@attribute average_acceleration_for_axis_Z numeric
@attribute average_acceleration_for_magnitude numeric
@attribute standard_deviation_for_axis_X numeric
@attribute standard_deviation_for_axis_Y numeric
@attribute standard_deviation_for_axis_Z numeric
@attribute standard_deviation_for_magnitude numeric
@attribute average_absolute_difference_for_axis_X numeric
@attribute average_absolute_difference_for_axis_Y numeric
@attribute average_absolute_difference_for_axis_Z numeric
@attribute average_absolute_difference_for_magnitude numeric
@attribute zero_crossing_rate_for_axis_X numeric
@attribute zero_crossing_rate_for_axis_Y numeric
@attribute zero_crossing_rate_for_axis_Z numeric
@attribute bin0_X numeric
@attribute bin1_X numeric
@attribute bin2_X numeric
@attribute bin3_X numeric
@attribute bin4_X numeric
@attribute bin5_X numeric
@attribute bin6_X numeric
@attribute bin7_X numeric
@attribute bin8_X numeric
@attribute bin9_X numeric
@attribute bin0_Y numeric
@attribute bin1_Y numeric
@attribute bin2_Y numeric
@attribute bin3_Y numeric
@attribute bin4_Y numeric
@attribute bin5_Y numeric
@attribute bin6_Y numeric
@attribute bin7_Y numeric
@attribute bin8_Y numeric
@attribute bin9_Y numeric
@attribute bin0_Z numeric
@attribute bin1_Z numeric
@attribute bin2_Z numeric
@attribute bin3_Z numeric
@attribute bin4_Z numeric
@attribute bin5_Z numeric
@attribute bin6_Z numeric
@attribute bin7_Z numeric
@attribute bin8_Z numeric
@attribute bin9_Z numeric
@attribute bin0_magnitude numeric
@attribute bin1_magnitude numeric
@attribute bin2_magnitude numeric
@attribute bin3_magnitude numeric
@attribute bin4_magnitude numeric
@attribute bin5_magnitude numeric
@attribute bin6_magnitude numeric
@attribute bin7_magnitude numeric
@attribute bin8_magnitude numeric
@attribute bin9_magnitude numeric


@attribute userID {am, dummy}


@data

-2.5664520263671875,5.774200439453125,5.021820068359375,8.368526413583968,-0.28523409366607666,6.537459373474121,7.395346999168396,9.930841565645805,0.8968891898064915,0.3332022170596456,0.8346489785298454,0.7080603348379287,0.647652817890048,0.26030145585536957,0.6291282456368208,0.5516835022826199,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.6640625,0.3359375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015625,0.984375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0546875,0.890625,0.0546875,0.0,0.0,0.0,0.0546875,0.9453125,0.0,0.0,0.0,0.0,0.0,0.0,am

-1.1826171875,2.836517333984375,3.53741455078125,5.425773609700464,0.9963752031326294,6.687396049499512,6.716945648193359,9.634036744986815,1.2159336797684182,1.2953291694890494,1.6738581156177341,1.9937145401111427,1.0497992690652609,1.0715134292840958,1.3415794968605042,1.616722733086613,0.0234375,0.0,0.0,0.0,0.0,0.0,0.0,0.3125,0.6328125,0.0546875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0078125,0.2734375,0.71875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40625,0.4609375,0.125,0.0078125,0.0,0.0234375,0.40625,0.3828125,0.1796875,0.0078125,0.0,0.0,0.0,0.0,am

-0.4619598388671875,4.8859405517578125,-0.417816162109375,9.269017905350763,2.5279165506362915,7.716884255409241,6.485924601554871,10.6875622966594,1.6008207320868038,1.3378120029733662,1.6322623274276273,0.89473072349232,1.3931405823677778,1.1002615056931973,1.2556885778903961,0.7542238945959914,0.015625,0.0,0.015625,0.0,0.0,0.0,0.0,0.0703125,0.5078125,0.421875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1484375,0.6015625,0.25,0.0,0.0,0.0,0.0,0.0,0.0078125,0.015625,0.296875,0.65625,0.0234375,0.0,0.0,0.0,0.0,0.8359375,0.1640625,0.0,0.0,0.0,0.0,0.0,am

3.936187744140625,5.807708740234375,0.5254974365234375,9.36908756919856,6.66633141040802,6.910075902938843,3.7122607231140137,10.584295094272678,1.2053707059868395,0.6937818058966054,2.278022302344991,1.0326363515412935,0.9482698496431112,0.5753592029213905,2.07208089530468,0.9245516046303747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2421875,0.75,0.0078125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.046875,0.953125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4921875,0.1953125,0.3125,0.0,0.0,0.0,0.0,0.0,0.78125,0.21875,0.0,0.0,0.0,0.0,0.0,am

4.5131988525390625,3.6529388427734375,0.33636474609375,6.685760783993758,7.651413559913635,5.769275903701782,2.976399302482605,10.2555154478402,1.590865140355478,0.974789713910412,1.678873777066294,1.3459991327110572,1.3563805725425482,0.900803916156292,1.3562004417181015,1.0476122368634277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.59375,0.28125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.484375,0.515625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5546875,0.3671875,0.078125,0.0,0.0,0.0,0.0,0.1171875,0.75,0.1328125,0.0,0.0,0.0,0.0,0.0,am
